Quoddy Transition Table	Default transition set	the way we read the table is: look at the column name. It means the current page you see and the lines means the states you can go from that page														
	1	2	3	4	5	6	7	8	9	10	11	12	13			
To >>> From vvvv  	GoHome	Login	UpdateStatus	MyUpdates	ListAllUsers	ViewUserProfile	AddToFriend	ViewPrendingFriendRequests	ConfirmPendingRequest	ListAllFriends	FollowUser	ListUsersIFollow	ListMyFollowers	Transition waiting time		
GoHome	0.01915	0.01915	0.01915	0.01915	0.01915	0.01915	0.01915	0.01915	0.01915	0.01915	0.01915	0.01915	0.01915	1000		1
Login	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1000		2
UpdateStatus	0.01068	0.01068	0.01068	0.00000	0.00000	0.00000	0.00000	0.00000	0.01068	0.00000	0.00000	0.00000	0.00000	1000		3
MyUpdates	0.01858	0.01858	0.01858	0.01858	0.01858	0.01858	0.01858	0.01858	0.01858	0.01858	0.01858	0.01858	0.01858	1000		4
ListAllUsers	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	1000		5
ViewUserProfile	0.03295	0.03295	0.03295	0.00000	0.03295	0.00000	0.00000	0.00000	0.03295	0.03295	0.00000	0.03295	0.03295	1000		6
AddToFriend	0.00000	0.00000	0.00000	0.00000	0.00000	0.02807	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1000		7
ViewPrendingFriendRequests	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	0.00057	1000		8
ConfirmPendingRequest	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1000		9
ListAllFriends	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	1000		10
FollowUser	0.00000	0.00000	0.00000	0.00000	0.00000	0.02807	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	1000		11
ListUsersIFollow	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	0.00645	1000		12
ListMyFollowers	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	0.00034	1000		13
End of Session	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0.00010	0		14
Header probability	0.0953788462	0.0953788462	0.0953788462	0.0517538462	0.0847038462	0.1078995214	0.0517538462	1.0517538462	0.0953788462	0.0847038462	0.0517538462	0.0847038462	0.0847038462			
																
																
Probabilities for header					divide probability by the number of possible states											
Login	no equivalent interaction		0.000	0.000	0.00000											
My updates	Browse scraps /Browse testimonials written		24.150	0.242	0.01858											
Update status	Write scraps/Write testimonials		4.270	0.043	0.01068											
View a user profile	Browse profiles		26.360	0.264	0.03295											
Home	Browse homepage		24.890	0.249	0.01915											
List my friends	Browse the list of friends		8.390	0.084	0.00645											
Add to Friend	Manage friend invitation		0.740	0.007												
View pending friend requests	Manage friend invitation		0.740	0.007	0.00057											
Confirm friend requests	Manage friend invitation		0.740	0.007												
List I Follow			8.390	0.084	0.00645											
List my followers	Browse fans		0.440	0.004	0.00034											
List all users	Browse user lists		0.150	0.002	0.00012											
Follow somebody	no equivalent interaction		0.740	0.007												
Logout	no equivalent interaction		0.000	0.000												
																
																
Total read operations	93.51															
Total write operations	6.49															
TOTAL 	100.00															
